id,ngan_sach_trieu,so_ngay,so_nguoi,muc_dich,nhom_tuoi,gioi_tinh,mua,dia_diem,kenh_dat,danh_gia,khach_quay_lai,tu_den,hang_hang_khong,loai_khach_san,ho_boi,DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai,HD_Tam_Bien,HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Am_Thuc,HD_Check_In,HD_Nghi_Duong_Chua_Lanh,services_list,activities_list
1,32.7,3,1,Nghi_Duong,35_44,Nam,Mua_Xuan,Mui_Ne,Mobile_App,3,1,HCMC,Vietnam_Airlines,Homestay,0,1,0,0,0,1,1,0,0,1,1,1,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai","HD_Tam_Bien,HD_Am_Thuc,HD_Check_In,HD_Nghi_Duong_Chua_Lanh"
2,4.1,1,2,Trang_Mat,35_44,Nu,Mua_Ha,Ha_Long,Mobile_App,4,1,HCMC,Bamboo_Airways,Homestay,0,0,0,0,1,0,0,0,1,0,0,0,DV_Tour_Va_Khu_Vui_Choi,HD_Tham_Quan_Di_Tich
3,13.3,4,2,Kham_Pha,18_24,Nam,Mua_Thu,Mui_Ne,Mobile_App,5,0,Da_Nang,Vietnam_Airlines,Hotel_3_Star,0,1,0,0,0,0,1,0,0,0,1,0,DV_Khach_San_Homestay,"HD_Tam_Bien,HD_Check_In"
4,12.2,2,5,Kham_Pha,25_34,Nu,Mua_Ha,Ha_Noi,Truc_Tiep,3,1,Da_Nang,VietJet_Air,Hotel_4_Star,1,0,0,0,1,0,0,0,1,1,0,0,DV_Tour_Va_Khu_Vui_Choi,"HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
5,27.0,4,2,Kham_Pha,35_44,Nam,Mua_Dong,Da_Lat,Mobile_App,5,1,Can_Tho,Bamboo_Airways,Resort_5_Star,0,1,0,0,1,1,0,1,0,0,0,1,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai","HD_Leo_Nui_Trekking,HD_Nghi_Duong_Chua_Lanh"
6,15.1,5,3,Nghi_Duong,18_24,Nu,Mua_Thu,HCMC,Zalo_OA,4,1,Ha_Noi,Bamboo_Airways,Resort_5_Star,1,1,1,1,0,0,0,0,1,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay","HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
7,3.7,1,1,Cong_Tac,45_54,Nam,Mua_Xuan,Hoi_An,Website,5,0,Da_Nang,Bamboo_Airways,Hotel_3_Star,0,1,0,0,0,0,0,0,0,1,0,0,DV_Khach_San_Homestay,HD_Am_Thuc
8,28.5,4,2,Kham_Pha,Tren_55,Nam,Mua_Dong,Nha_Trang,Zalo_OA,3,0,Hai_Phong,Bamboo_Airways,Resort_5_Star,0,1,1,1,1,0,1,0,0,1,1,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi","HD_Tam_Bien,HD_Am_Thuc,HD_Check_In"
9,29.2,6,2,Kham_Pha,35_44,Nu,Mua_Xuan,Phu_Quoc,Mobile_App,3,0,Can_Tho,VietJet_Air,Resort_5_Star,1,1,0,0,0,0,1,0,0,1,1,0,DV_Khach_San_Homestay,"HD_Tam_Bien,HD_Am_Thuc,HD_Check_In"
10,8.0,3,2,Cong_Tac,18_24,Nam,Mua_Dong,Ha_Long,Mobile_App,4,0,HCMC,Vietravel_Airlines,Hotel_3_Star,0,0,1,1,1,0,0,0,1,0,0,0,"DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi",HD_Tham_Quan_Di_Tich
