tourist_id,gioi_tinh,nhom_tuoi,muc_dich,so_nguoi,ngan_sach_trieu,so_ngay,mua,dia_diem,kenh_dat,danh_gia,khach_quay_lai,DV_Khach_San_Resort,DV_Homestay_Glamping,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Ve_Khu_Vui_Choi,DV_Tour_Trong_Ngay,DV_Thue_Xe_Oto,DV_Thue_Xe_Dien,HD_Tam_Bien,HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Mua_Sam,HD_Am_Thuc,HD_Chup_Anh_Check_In,HD_The_Thao_Nuoc,HD_Nghi_Duong_Chua_Lanh,services_list,activities_list
KH0001,Nam,26-35,Tuan_Trang_Mat,6,7.6,2,Xuan,Da_Nang,Super_App_Vi_Dien_Tu,3.5,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,"DV_Homestay_Glamping,DV_Ve_May_Bay,DV_Dua_Don_San_Bay","HD_Mua_Sam,HD_Chup_Anh_Check_In,HD_The_Thao_Nuoc,HD_Nghi_Duong_Chua_Lanh"
KH0002,Nam,26-35,Di_Mot_Minh,1,17.9,8,Ha,Sapa,Website_OTA,5.0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,"DV_Khach_San_Resort,DV_Tour_Trong_Ngay","HD_Leo_Nui_Trekking,HD_Mua_Sam,HD_Nghi_Duong_Chua_Lanh"
KH0003,Nu,46-55,Tuan_Trang_Mat,3,23.7,3,Ha,Da_Lat,App_Di_Dong,3.5,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Tour_Trong_Ngay","HD_Leo_Nui_Trekking,HD_Am_Thuc"
KH0004,Nam,36-45,Cong_Tac,2,11.2,6,Xuan,Hue,App_Di_Dong,4.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,"DV_Homestay_Glamping,DV_Ve_May_Bay,DV_Dua_Don_San_Bay","HD_Tham_Quan_Di_Tich,HD_Nghi_Duong_Chua_Lanh"
KH0005,Nam,55+,Kham_Pha,6,50.3,3,Thu,HCMC,Super_App_Vi_Dien_Tu,5.0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Thue_Xe_Dien","HD_Tham_Quan_Di_Tich,HD_Mua_Sam"
KH0006,Nu,46-55,Ban_Be,4,32.1,8,Xuan,Mui_Ne,Website_OTA,4.5,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,"DV_Homestay_Glamping,DV_Tour_Trong_Ngay,DV_Thue_Xe_Oto","HD_Tam_Bien,HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich"
KH0007,Nu,46-55,Di_Mot_Minh,4,15.9,7,Dong,Da_Lat,Truc_Tiep,3.0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,"DV_Homestay_Glamping,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Trong_Ngay,DV_Thue_Xe_Dien","HD_Leo_Nui_Trekking,HD_Mua_Sam,HD_Am_Thuc"
KH0008,Nam,36-45,Ban_Be,3,46.0,8,Xuan,Da_Lat,Website_OTA,4.0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Trong_Ngay","HD_Tam_Bien,HD_Chup_Anh_Check_In,HD_The_Thao_Nuoc,HD_Nghi_Duong_Chua_Lanh"
KH0009,Nu,26-35,Kham_Pha,6,77.8,8,Thu,Hue,Super_App_Vi_Dien_Tu,3.5,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,"DV_Khach_San_Resort,DV_Ve_May_Bay,DV_Thue_Xe_Dien","HD_Mua_Sam,HD_Chup_Anh_Check_In,HD_Nghi_Duong_Chua_Lanh"
KH0010,Nu,55+,Kham_Pha,2,15.8,3,Ha,Ha_Long,Truc_Tiep,4.0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,"DV_Khach_San_Resort,DV_Ve_May_Bay","HD_Tam_Bien,HD_Tham_Quan_Di_Tich,HD_The_Thao_Nuoc"
