Time_On_Site,Pages_Viewed,Exit_Rate,Visitor_Type,Device,Age,Voucher_Used
139.9,1,0.094,Returning_Visitor,Desktop,42,0
114.5,2,0.465,Returning_Visitor,Desktop,44,1
145.9,4,0.18,Returning_Visitor,Desktop,57,0
180.9,4,0.341,New_Visitor,Mobile,40,1
110.6,7,0.028,Returning_Visitor,Desktop,48,0
110.6,1,0.402,Returning_Visitor,Mobile,46,0
183.2,4,0.549,Returning_Visitor,Desktop,47,0
150.7,6,0.617,New_Visitor,Mobile,43,1
101.2,5,0.66,New_Visitor,Desktop,37,1
141.7,1,0.83,Returning_Visitor,Desktop,55,1
101.5,6,0.221,Returning_Visitor,Desktop,36,0
101.4,4,0.128,New_Visitor,Mobile,44,0
129.7,7,0.845,New_Visitor,Mobile,42,1
43.5,4,0.163,Returning_Visitor,Desktop,57,1
51.0,5,0.965,New_Visitor,Mobile,55,0
97.5,6,0.836,Returning_Visitor,Desktop,40,0
79.5,4,0.501,New_Visitor,Mobile,46,1
132.6,5,0.972,New_Visitor,Desktop,32,0
83.7,1,0.105,Returning_Visitor,Mobile,20,0
63.5,4,0.307,Returning_Visitor,Desktop,27,1
178.6,3,0.635,Returning_Visitor,Desktop,32,0
111.0,1,0.353,Returning_Visitor,Mobile,33,0
122.7,7,0.92,Returning_Visitor,Mobile,34,0
63.0,2,0.074,Returning_Visitor,Mobile,36,1
98.2,3,0.548,New_Visitor,Mobile,28,0
124.4,4,0.589,Returning_Visitor,Mobile,22,0
74.0,3,0.65,Returning_Visitor,Desktop,22,1
135.0,7,0.261,Returning_Visitor,Mobile,31,1
96.0,1,0.367,New_Visitor,Mobile,43,0
108.3,4,0.837,Returning_Visitor,Mobile,25,0
95.9,7,0.201,Returning_Visitor,Mobile,22,0
194.1,4,0.82,Returning_Visitor,Mobile,24,0
119.5,6,0.561,New_Visitor,Desktop,33,0
77.7,3,0.757,New_Visitor,Desktop,31,0
152.9,8,0.709,Returning_Visitor,Mobile,54,0
71.2,6,0.213,New_Visitor,Mobile,58,0
128.4,1,0.567,Returning_Visitor,Desktop,21,0
41.6,4,0.86,Returning_Visitor,Mobile,53,0
66.9,3,0.433,New_Visitor,Mobile,34,0
127.9,3,0.957,Returning_Visitor,Mobile,53,0
149.5,5,0.453,Returning_Visitor,Mobile,23,0
126.9,4,0.15,Returning_Visitor,Desktop,33,1
115.4,5,0.392,New_Visitor,Desktop,46,1
108.0,1,0.943,New_Visitor,Mobile,53,1
60.9,4,0.323,Returning_Visitor,Mobile,55,1
