tourist_id,gioi_tinh,nhom_tuoi,muc_dich,so_nguoi,ngan_sach_trieu,so_ngay,mua,dia_diem,kenh_dat,danh_gia,khach_quay_lai,DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai,HD_Tam_Bien,HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Am_Thuc,HD_Check_In,HD_Nghi_Duong_Chua_Lanh,services_list,activities_list
KH0001,Nam,26-35,Tuan_Trang_Mat,6,7.6,2,Xuan,Da_Nang,Super_App_Vi_Dien_Tu,3.0,0,1,1,0,0,0,1,0,0,1,1,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay","HD_Tam_Bien,HD_Am_Thuc,HD_Check_In"
KH0002,Nu,18-25,Cong_Tac,3,57.8,8,Thu,Da_Nang,Truc_Tiep,4.5,1,1,1,1,1,0,1,0,0,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi","HD_Tam_Bien,HD_Am_Thuc"
KH0003,Nu,46-55,Di_Mot_Minh,1,4.7,3,Thu,Nha_Trang,Truc_Tiep,3.5,1,1,1,1,1,0,1,0,1,1,0,1,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi","HD_Tam_Bien,HD_Tham_Quan_Di_Tich,HD_Am_Thuc,HD_Nghi_Duong_Chua_Lanh"
KH0004,Nam,55+,Di_Mot_Minh,6,50.2,4,Xuan,Hoi_An,App_Di_Dong,3.0,1,1,0,0,1,0,0,0,1,1,1,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi","HD_Tham_Quan_Di_Tich,HD_Am_Thuc,HD_Check_In"
KH0005,Nam,55+,Gia_Dinh,1,6.9,7,Dong,Hoi_An,Website_OTA,2.5,0,1,0,0,0,1,0,0,1,1,0,0,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai","HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0006,Nam,18-25,Kham_Pha,6,35.3,2,Ha,Sapa,Website_OTA,3.0,1,1,0,0,0,0,0,0,0,1,0,1,DV_Khach_San_Homestay,"HD_Am_Thuc,HD_Nghi_Duong_Chua_Lanh"
KH0007,Nam,26-35,Cong_Tac,4,8.7,3,Dong,Hue,Truc_Tiep,3.5,1,1,0,0,1,1,0,1,1,1,1,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai","HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Am_Thuc,HD_Check_In"
KH0008,Nu,26-35,Gia_Dinh,5,23.4,7,Xuan,Sapa,App_Di_Dong,4.5,0,1,0,0,0,1,0,1,0,1,1,0,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai","HD_Leo_Nui_Trekking,HD_Am_Thuc,HD_Check_In"
KH0009,Nu,26-35,Kham_Pha,6,25.1,4,Dong,Ha_Noi,App_Di_Dong,3.0,0,1,1,1,1,0,0,0,1,1,1,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi","HD_Tham_Quan_Di_Tich,HD_Am_Thuc,HD_Check_In"
KH0010,Nam,36-45,Di_Mot_Minh,5,15.9,3,Thu,Hoi_An,Truc_Tiep,3.0,0,1,0,1,0,1,0,0,0,1,0,0,"DV_Khach_San_Homestay,DV_Dua_Don_San_Bay,DV_Thue_Xe_Tu_Lai",HD_Am_Thuc
KH0011,Nu,26-35,Gia_Dinh,3,13.9,4,Xuan,Hue,App_Di_Dong,3.0,0,1,0,0,1,0,0,0,0,1,1,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi","HD_Am_Thuc,HD_Check_In"
KH0012,Nu,36-45,Di_Mot_Minh,2,4.2,3,Xuan,Sapa,Truc_Tiep,3.5,0,1,0,0,0,0,0,0,1,1,0,0,DV_Khach_San_Homestay,"HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0013,Nu,18-25,Kham_Pha,4,24.0,2,Ha,Sapa,App_Di_Dong,3.5,0,1,0,0,0,0,0,1,0,1,1,1,DV_Khach_San_Homestay,"HD_Leo_Nui_Trekking,HD_Am_Thuc,HD_Check_In,HD_Nghi_Duong_Chua_Lanh"
KH0014,Nu,46-55,Ban_Be,4,88.2,7,Ha,Ha_Noi,Super_App_Vi_Dien_Tu,3.5,1,1,1,0,0,1,0,0,1,0,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Thue_Xe_Tu_Lai",HD_Tham_Quan_Di_Tich
KH0015,Nam,46-55,Tuan_Trang_Mat,2,16.0,8,Dong,Sapa,Website_OTA,4.5,1,1,0,0,0,0,0,0,0,1,0,0,DV_Khach_San_Homestay,HD_Am_Thuc
KH0016,Nu,46-55,Gia_Dinh,6,48.9,4,Ha,Sapa,App_Di_Dong,5.0,1,1,0,0,0,1,0,1,1,1,0,0,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai","HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0017,Nam,46-55,Tuan_Trang_Mat,3,19.7,5,Dong,HCMC,Website_OTA,3.0,1,1,0,0,0,0,0,0,1,1,0,0,DV_Khach_San_Homestay,"HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0018,Nam,55+,Gia_Dinh,3,9.2,3,Xuan,HCMC,Website_OTA,3.5,0,1,1,1,0,0,0,0,0,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay",HD_Am_Thuc
KH0019,Nam,36-45,Kham_Pha,5,124.8,8,Xuan,Phu_Quoc,Website_OTA,4.5,1,1,1,0,0,0,1,0,0,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay","HD_Tam_Bien,HD_Am_Thuc"
KH0020,Nu,46-55,Tuan_Trang_Mat,4,13.0,6,Dong,Hoi_An,App_Di_Dong,2.5,0,1,0,0,1,1,0,0,1,1,0,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai","HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0021,Nu,55+,Di_Mot_Minh,4,71.7,6,Thu,Sapa,Super_App_Vi_Dien_Tu,3.5,1,1,0,0,0,1,0,1,1,1,0,0,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai","HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0022,Nam,36-45,Gia_Dinh,1,8.9,6,Thu,Sapa,Truc_Tiep,2.5,0,1,0,0,0,1,0,1,0,1,0,0,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai","HD_Leo_Nui_Trekking,HD_Am_Thuc"
KH0023,Nam,55+,Ban_Be,4,55.8,5,Thu,Mui_Ne,Super_App_Vi_Dien_Tu,4.5,1,1,0,0,0,0,1,0,1,1,0,0,DV_Khach_San_Homestay,"HD_Tam_Bien,HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0024,Nam,26-35,Di_Mot_Minh,2,7.9,2,Xuan,Sapa,Truc_Tiep,2.5,1,1,0,0,0,0,0,0,0,1,1,0,DV_Khach_San_Homestay,"HD_Am_Thuc,HD_Check_In"
KH0025,Nu,36-45,Tuan_Trang_Mat,5,28.0,5,Dong,Mui_Ne,Website_OTA,4.5,1,1,0,0,1,0,1,0,0,1,0,1,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi","HD_Tam_Bien,HD_Am_Thuc,HD_Nghi_Duong_Chua_Lanh"
KH0026,Nu,55+,Ban_Be,6,19.3,5,Xuan,Sapa,Truc_Tiep,3.0,1,0,0,0,0,0,0,1,1,1,0,0,,"HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0027,Nam,46-55,Cong_Tac,2,15.4,5,Ha,Hue,Truc_Tiep,4.0,1,1,0,0,1,0,0,0,1,1,0,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi","HD_Tham_Quan_Di_Tich,HD_Am_Thuc"
KH0028,Nu,46-55,Kham_Pha,4,37.2,5,Ha,Sapa,Super_App_Vi_Dien_Tu,4.0,1,1,0,0,1,1,0,0,0,1,0,0,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai",HD_Am_Thuc
KH0029,Nam,55+,Gia_Dinh,2,26.9,7,Thu,HCMC,Truc_Tiep,3.5,0,1,1,0,1,0,0,0,1,0,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Tour_Va_Khu_Vui_Choi",HD_Tham_Quan_Di_Tich
KH0030,Nu,36-45,Kham_Pha,1,10.8,8,Dong,Da_Lat,App_Di_Dong,3.5,0,1,1,0,0,0,0,1,0,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay","HD_Leo_Nui_Trekking,HD_Am_Thuc"
KH0031,Nu,26-35,Kham_Pha,2,22.5,6,Thu,Sapa,Truc_Tiep,4.0,1,1,0,0,0,0,0,1,0,0,1,1,DV_Khach_San_Homestay,"HD_Leo_Nui_Trekking,HD_Check_In,HD_Nghi_Duong_Chua_Lanh"
KH0032,Nam,26-35,Kham_Pha,6,47.4,7,Dong,Nha_Trang,App_Di_Dong,2.5,0,1,1,0,1,0,1,0,0,1,0,1,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Tour_Va_Khu_Vui_Choi","HD_Tam_Bien,HD_Am_Thuc,HD_Nghi_Duong_Chua_Lanh"
KH0033,Nam,26-35,Cong_Tac,2,17.3,5,Dong,Hoi_An,App_Di_Dong,3.5,0,1,0,0,0,1,0,0,1,0,1,1,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai","HD_Tham_Quan_Di_Tich,HD_Check_In,HD_Nghi_Duong_Chua_Lanh"
KH0034,Nam,55+,Gia_Dinh,1,20.4,8,Thu,Nha_Trang,Truc_Tiep,4.0,0,1,1,1,0,0,0,0,0,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay",HD_Am_Thuc
KH0035,Nam,46-55,Cong_Tac,1,9.3,7,Xuan,Sapa,Super_App_Vi_Dien_Tu,3.0,0,1,0,0,0,1,0,1,1,0,0,0,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai","HD_Leo_Nui_Trekking,HD_Tham_Quan_Di_Tich"
KH0036,Nu,46-55,Cong_Tac,5,21.1,4,Dong,Da_Nang,Super_App_Vi_Dien_Tu,2.5,1,1,1,0,1,0,1,0,1,0,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Tour_Va_Khu_Vui_Choi","HD_Tam_Bien,HD_Tham_Quan_Di_Tich"
KH0037,Nu,18-25,Ban_Be,3,72.3,8,Dong,Sapa,Website_OTA,5.0,1,1,0,0,0,1,0,0,0,1,0,0,"DV_Khach_San_Homestay,DV_Thue_Xe_Tu_Lai",HD_Am_Thuc
KH0038,Nu,36-45,Di_Mot_Minh,1,3.2,3,Ha,Da_Nang,Super_App_Vi_Dien_Tu,3.5,0,1,1,1,1,0,0,1,0,1,0,0,"DV_Khach_San_Homestay,DV_Ve_May_Bay,DV_Dua_Don_San_Bay,DV_Tour_Va_Khu_Vui_Choi","HD_Leo_Nui_Trekking,HD_Am_Thuc"
KH0039,Nam,36-45,Kham_Pha,6,43.4,6,Dong,Mui_Ne,App_Di_Dong,4.5,0,1,0,0,1,1,1,0,0,1,0,1,"DV_Khach_San_Homestay,DV_Tour_Va_Khu_Vui_Choi,DV_Thue_Xe_Tu_Lai","HD_Tam_Bien,HD_Am_Thuc,HD_Nghi_Duong_Chua_Lanh"
